human_protein,sseqid
P62277,Q1HVI8
Q8NFH4,P05954
Q9UI26,Q2HRD4
Q8TAE8,I6TAH8
Q7Z3B4,P35962
P25398,P03430
Q6P1N9,P27958
A0A087WVQ6,Q8AZK7
Q03001,Q99IB8
P19013,P14079
Q07065,B0FAN4
Q10567,P04604
P23634,Q1HVB5
P14854,B0FAN4
B2R4R0,P04487
P50748,O92835
Q3ZCQ8,B4URE7
O95793-2,P04591
Q9NPG3,P06428
Q96TC7,P03182
Q15046,P04591
O60812,P0C732
P31151,P69284
P12956,P03427
O75746,P29990
Q8WWH5,B4URF7
Q9Y4R8,P03452
P10644,Q1K9H5
Q15125,A0A142I5B9
Q9Y6N5,P0C737
Q9NRG9,A0A142I5B9
Q9Y244,P06422
B3KMD8,P04608
O00559,P27958
Q15415,Q04360
P46934,P69722
Q5T3F8,Q9WMX2
P61978,P03470
Q9Y287,P03452
Q14764,Q9WMX2
P26440,P03427
P28799,P0C736
P51948,P05908
P32969,P04487
Q9Y3T6,P14357
Q92621,P04592
Q9NWW5,Q99IB8
Q8IXH7,P05908
P19429,A4ZNQ3
Q8WWM7,P03496
O43242,P06428
P51668,F5HCV3
P18074,P12511
Q96BZ9,P27958
Q9UID3,P05780
Q96AE4,O41957
P36941,Q6QYU1
O75352,P0C045
Q9NRG9,P35966
P49908,Q69140
P07355,P04591
P06576,P06429
P36404,P36810
Q8N1B4,Q9WMX2
P68363,P0DOE8
Q9P2E9,P05777
Q14699,P06792
Q15262,P0C737
P25786,P14079
Q8WUM0,P19548
P08962,Q71B36
P82663,I6TAH8
P01106,H9XIJ5
Q8TEM1,P20883
Q9NTJ5,A0A142I5B9
Q00577,P29991
Q8WU90,P03470
Q8N490,Q77M19
P55265,Q3SBS4
Q96EE3,Q70623
O00327,P08393
Q9BW61,P03427
P04439,Q70627
Q6IAA8,P03246
P84243,P04618
P18074,P04326
Q16204,A0A024B7W1
P13010,P04587
P30101,B9UPF3
A8K5D4,P0CK50
P62333,P03430
Q02539,A9YDK9
Q13435,P03431
Q92556,P12478
P51948,P35965
Q15365,P03470
Q12769,P08803
P13010,P05925
P13984,P04610
Q93009,F5HF68
P18887,P06930
A0A0C4DGV4,Q69027
P60709,Q8JSN8
Q9UJZ1,P0C737
P62136,P03129
P33993,P26555
Q9NZM1,Q69117
P31689,P03081
P02545,P03129
O43423,P04618
O75688,K9UT94
Q9Y6N5,P03428
Q92905,P06423
P43364,T2AAS6
Q8TBC4,Q9WMX2
P26641,P36778
P61978,Q6QYR2
Q03001,P88986
P09601,P03468
O96006,P03197
P05141,Q9WMX2
P39656,P06461
Q08050,P03129
Q5VT06,P03120
O95793,A4ZNQ3
E9PFW3,P06930
O94842,Q77UU1
P16118,A5A5U1
Q9H3R5,Q0A2H1
Q96A26,A0A024B7W1
P61218,P04614
P12109,A0A0C7TUY8
P05155,Q7TFA1
Q13561,P59634
P13674,P0C732
P68366,P03129
P37198,P08804
Q92522,Q1K9H2
Q8IUQ4,P68343
P25106,P06465
P62314,P03427
Q9UI12,P24741
Q5H9R7,P0CK57
P50281,Q1HVB5
P22492,P03427
Q12797,Q2MG95
Q52LJ0,Q8JPQ9
P42766,Q0HD54
P0CG47,P04591
P29966,P27958
Q53GQ0,P03433
Q9NPE3,P03466
P08865,Q0HD54
Q96D09,Q1HVD1
Q00325,P05780
Q0VD86,Q6VGT1
Q92526,P03220
P35544,P04618
Q7Z434,P06792
P16615,K9UT94
Q96EL3,P03428
Q13426,Q70625
I4AY87,P27958
Q8NEW0,Q76353
Q8NFH4,P05961
O15118,Q1K9H5
Q99567,P08805
Q9Y3D3,P17383
O43156,P05780
P0CG48,P08808
P04637,P05780
P18859,Q2MG95
Q9BXK5,P36780
O43920,O36551
O75964,P0C739
Q7KZ85,P03433
Q8NI60,Q1K9H5
O95785,B4URF7
P08962,Q71B34
Q05086,P23372
O95071,Q20MH8
Q96F15,P05919
Q9BV73,Q9WMX2
P42285,Q77YF8
Q63ZY3,P03177
P62847,P05777
P07900,P12977
P07900,P03427
Q8NI22,P06428
Q96A33,A0A288CFT1
P62937,P05961
P61073,P35960
P78406,P05868
O15027,Q8AZK7
Q04917,K9UT94
Q9NR28,P05928
Q86VK4,P06429
Q9Y3B7,Q1K9H2
P63261,B0FAM1
Q9NVI7,Q9WB91
Q6P2Q9,Q8AZK7
Q9NZM1,P06463
P54136,P03496
Q12904,P05780
Q13617,P03206
Q96NB2,I6T1Z2
P01130,P04578
Q13077,P03188
P08631,P03404
P29692,Q67020
Q9NQX4,Q05322
Q14118,P06428
Q9UJ41,Q67296
Q9Y3D9,P03470
Q9Y5M8,P06460
P46779,A0A218M2D5
P11279,P08669
Q9UPY3,P0C205
O14654,Q82506
O75688,P05780
P04439,P18139
Q7L2E3,P03470
Q9BY44,Q9WRJ7
O43795,P15682
Q9GZP9,P03118
Q86VP1,P29991
P40227,Q2MG95
Q86XT2,P03347
P62979,P05948
A3F769,Q3SBS4
O95782,P03406
P17096,P04618
Q16531,P06821
P49790,P35964
P00156,P06427
Q92876,P36817
Q9BYM8,P0CK53
P02675,Q99IB8
Q9BQB6,Q1HVD3
O14735,B4URF7
P62826,P24739
Q8TCG1,P0DOE9
Q96EA4,Q88489
P17844,Q20MH3
P00846,P06927
Q9UGM5,P04578
P02538,P06790
Q9BVL2,P20890
P31249,Q2Q067
Q14966,Q99IB8
O60353,P0C739
O60508,Q32ZE1
Q8NBS9,Q99IB8
Q8TEM1,P20877
P49792,P69723
A8K4C8,Q77M19
Q13342,A0EXJ0
Q96J84,P0C6Z1
P50991,P05777
Q9C005,P03470
P07910,P03427
P05556,P03087
Q12904,Q1K9H2
P54136,P03468
Q96HA1,P12503
O75306,Q9WMX2
Q9UBB6,P05780
Q14103,P03454
P12259,P88983
P17096,P18805
O00571,Q6QYC3
Q15020,P15682
P57740,P03348
Q9UHB7,A0A024B7W1
Q9Y678,P69901
P52292,P0DOE8
Q2TAY7,P03428
P47869,P03129
A4D1N4,P05777
P62277,P06461
O00273,P03246
A8K3M3,B9UPF3
O15173,P06927
Q549N5,B8ZX49
Q13813,Q89268
Q14152,Q9QAI1
P36941,Q6QZA0
P53634,P25214
P08670,Q72874
Q96CW1,P20886
Q8N2S1,Q9WMX2
Q9BW27,P69725
Q9UH62,P05780
Q01082-3,P88993
O75821,P05777
Q99729,P05777
Q8TEM1,P69728
Q9UJF2,P27958
P49792,P12520
P29218,Q81983
P38159,A0A218M2D5
P51681,P03402
Q9ULU8,Q9WMX2
Q63ZY3,Q1HVD3
Q9C0J8,Q32ZE1
P21333,Q9QAI4
Q58EX7,Q9WMX2
Q8N5N7,P29991
Q6ZT21,Q32ZE1
Q07021,Q77M19
P49792,Q3KSR4
P02788,B0FAM1
O94762,F5HFD2
P78310,P36711
Q13561,Q20P38
Q13435,Q1HVI8
A0A0C4DG91,P06427
Q9BPX3,P03468
Q03135,P0DOE7
P07437,Q99AU3
Q15629,Q9WMX2
Q8N6S5,P17385
Q96CS3,P06821
Q71RC2,P17383
O95248,Q9WMX2
Q9ULE0,Q8JSN8
P18124,P15659
P29966,A0A0C7TUY8
O96005,P06927
P51571,P03182
P40939,Q99IB8
Q8NFH5,P89653
Q8N1F7,P69728
Q9BXS5,P05858
Q13526,P04585
Q9H0M0,Q1HVJ2
Q9Y4W2,C5E526
P49792,P24740
P27105,P0C737
P26641,O92835
Q13409,P0DOE8
Q13617,P04591
P04406,P03496
Q9UKX7,P29991
P63167,A0A218M2D5
Q01650,B9UPF3
P18124,P03427
O75586,P68335
O60232,P04585
O60613,P88935
P62888,A0A142I5B9
Q96L73,B8ZX49
P17980,P03454
P49411,P05777
P48060,P0C737
Q9UJZ1,Q77M19
O15417,P05780
P56182,P05780
P23508,Q0NJW0
P49458,P06788
Q96G97,Q20MH3
Q9HC85,Q99IB8
P78406,P05956
Q9GZU8,Q58HT7
Q6P1X5,A0EXJ2
Q8TEM1,P05961
P51681,P12503
P19338,Q05127
Q96EL2,Q76RH4
P43403,Q1HVJ2
Q13724,Q99IB8
P07900,P88980
P13010,P04619
Q99575,B4URF7
Q8IWB1,P06821
Q8WW24,Q9WC28
O00767,P06788
O75475,P05952
Q8IZY2,P29991
Q9Y3M2,Q9WMX2
P18077,P05777
Q8NI08,B4URF7
Q92688,P04618
P21291,P05777
P61978,Q6QYJ9
Q86UA1,I6T1Z2
O14735,P06422
D0PNI1,P03496
P11717,P69901
Q9P270,P27958
O75533,P0C732
Q8NAP3,P04015
P07237,Q8AZK7
O15504,P08805
P18615,P19552
P19447,P05908
Q9Y320,Q99IB8
Q8N9N5,P03431
O75694,P04594
P04264,P15682
Q9P0L0,P27958
Q8NBT2,P27958
P13861,P03259-2
Q14498,B4URF7
Q7L2H7,P15682
P57740,P08804
Q9BRX8,Q99IB8
Q00325,P03454
Q5VST9,Q9WMX2
O00232,P03454
Q9BQB6,P06932
P30154,P03081
Q14232,A0A024B7W1
P07992,A0A288CFT1
Q13283,P03317
Q10567,P03407
P06702,Q58HT7
O75190,Q805P6
Q14155,Q90VU7
P46782,P04620
Q96R06,P04578
Q9NTK5,B9A2Q4
P48553,Q20MH8
Q9H5N1,P03427
Q9Y6Q5,P12481
P14923,P15682
P62316,P0C732
P84077,P04603
Q9Y2R9,P03433
O75694,P04621
O60678,Q76S40
P16615,P03179
P61513,P03470
Q9NY65,P04618
O95071,P03220
O95154,P29991
O60610,Q72874
Q8WTV0,P26663
P17480,P04608
O60547,Q2HRB6
P20671,P68466
Q09472,Q69022
P51398,C5E522
Q9P0L0,P04578
Q95460,P04591
P49917,P05889
P49917,P12520
Q86T03,Q9WB91
P52435,P19552
O00264,P03246
Q15386,Q2HRD4
P62508,P0C763
O43805,Q1K9H5
Q674X7,Q20MH3
P62328,Q9WMX2
P36542,P29990
Q9H078,P0DOE8
P13378,Q9WMX2
P52657,P04608
J3QK89,P06423
Q13642,Q9QR71
O43747,Q9QPN3
Q9NZM1,P13285
Q15427,P10240
P50991,B9VQJ7
Q13435,Q82506
P09651,P19893
P04920,Q9WMX2
Q9Y6E2,P05780
P25686,P0CK56
Q8WUM4,P0CK58
Q9UNE7,Q1K9H5
Q9BYN8,P17388
O43809,P05777
P62508,Q1HVI8
P30050,P06427
Q15286,A0A024B7W1
Q9ULD2,P03427
P20248,P03070
O15321,P69901
P61289,P0C742
O75533,P04296
P49755,P03087
P24278,P0DOF8
P51648,C5E519
Q969E2,P0C739
A0A2R8Y5Y7,P36801
P08195,P03428
O60333,G3CKS7
Q92997,P03428
P55283,Q8JSN8
Q9UHD8,P0CK48
Q13126,T2AAS6
H0YBX6,P06429
P27708,Q8AZK7
P60468,P03070
P84103,Q1H8W6
Q9UHI6,P0DOE9
Q14160,P06427
Q9BQB6,P0CK50
O14654,D1LN35
P10619,P24835
Q8WVX9,C5E526
Q09472,P04608
P04004,Q1K9H5
O75127,I6TAH8
P63267,Q9WPI5
I3L504,P14335
P52742,Q91B85
Q9Y6E2,Q20MH8
P62979,P03427
Q9UHD8,Q2MG95
