human_protein,GO_id
P01730,GO:0001618
P01730,GO:0001934
P01730,GO:0002250
P01730,GO:0004888
P01730,GO:0005201
P01730,GO:0005769
P01730,GO:0005788
P01730,GO:0005789
P01730,GO:0005886
P01730,GO:0006955
P01730,GO:0007155
P01730,GO:0007165
P01730,GO:0007166
P01730,GO:0007169
P01730,GO:0008270
P01730,GO:0008289
P01730,GO:0009897
P01730,GO:0015026
P01730,GO:0018108
P01730,GO:0019722
P01730,GO:0019899
P01730,GO:0019901
P01730,GO:0023026
P01730,GO:0030217
P01730,GO:0030225
P01730,GO:0030669
P01730,GO:0032743
P01730,GO:0033674
P01730,GO:0038023
P01730,GO:0042101
P01730,GO:0042110
P01730,GO:0042802
P01730,GO:0042803
P01730,GO:0043123
P01730,GO:0043410
P01730,GO:0045121
P01730,GO:0045860
P01730,GO:0045893
P01730,GO:0046598
P01730,GO:0050731
P01730,GO:0050829
P01730,GO:0050870
P01730,GO:0051924
P01730,GO:0070374
P01730,GO:1990782
P04637,GO:0000122
P04637,GO:0000423
P04637,GO:0000785
P04637,GO:0000976
P04637,GO:0000978
P04637,GO:0000981
P04637,GO:0000987
P04637,GO:0001046
P04637,GO:0001227
P04637,GO:0001228
P04637,GO:0001701
P04637,GO:0001756
P04637,GO:0001836
P04637,GO:0002020
P04637,GO:0002039
P04637,GO:0002244
P04637,GO:0002931
P04637,GO:0003677
P04637,GO:0003682
P04637,GO:0003700
P04637,GO:0003730
P04637,GO:0005507
P04637,GO:0005634
P04637,GO:0005654
P04637,GO:0005657
P04637,GO:0005667
P04637,GO:0005730
P04637,GO:0005737
P04637,GO:0005739
P04637,GO:0005759
P04637,GO:0005783
P04637,GO:0005813
P04637,GO:0005829
P04637,GO:0006289
P04637,GO:0006302
P04637,GO:0006355
P04637,GO:0006357
P04637,GO:0006606
P04637,GO:0006914
P04637,GO:0006974
P04637,GO:0006977
P04637,GO:0006978
P04637,GO:0007179
P04637,GO:0007265
P04637,GO:0007369
P04637,GO:0007405
P04637,GO:0008104
P04637,GO:0008156
P04637,GO:0008270
P04637,GO:0008285
P04637,GO:0008340
P04637,GO:0009303
P04637,GO:0010165
P04637,GO:0010332
P04637,GO:0010628
P04637,GO:0010666
P04637,GO:0016363
P04637,GO:0016605
P04637,GO:0017053
P04637,GO:0019899
P04637,GO:0019901
P04637,GO:0019903
P04637,GO:0021549
P04637,GO:0030308
P04637,GO:0030330
P04637,GO:0030512
P04637,GO:0030971
P04637,GO:0031065
P04637,GO:0031625
P04637,GO:0032991
P04637,GO:0033077
P04637,GO:0033209
P04637,GO:0034644
P04637,GO:0035035
P04637,GO:0035264
P04637,GO:0035861
P04637,GO:0042149
P04637,GO:0042771
P04637,GO:0042802
P04637,GO:0042826
P04637,GO:0042981
P04637,GO:0043065
P04637,GO:0043066
P04637,GO:0043153
P04637,GO:0043525
P04637,GO:0043621
P04637,GO:0045815
P04637,GO:0045861
P04637,GO:0045892
P04637,GO:0045893
P04637,GO:0045944
P04637,GO:0046677
P04637,GO:0046982
P04637,GO:0047485
P04637,GO:0048144
P04637,GO:0048147
P04637,GO:0048568
P04637,GO:0050731
P04637,GO:0050821
P04637,GO:0051087
P04637,GO:0051262
P04637,GO:0051276
P04637,GO:0051402
P04637,GO:0051721
P04637,GO:0051726
P04637,GO:0051974
P04637,GO:0060218
P04637,GO:0060333
P04637,GO:0061629
P04637,GO:0065003
P04637,GO:0070059
P04637,GO:0070266
P04637,GO:0071456
P04637,GO:0071466
P04637,GO:0071479
P04637,GO:0071480
P04637,GO:0071889
P04637,GO:0072089
P04637,GO:0072332
P04637,GO:0072593
P04637,GO:0090200
P04637,GO:0090398
P04637,GO:0090399
P04637,GO:0097193
P04637,GO:0097371
P04637,GO:0097718
P04637,GO:0140677
P04637,GO:1902895
P04637,GO:1990440
P04637,GO:1990841
P04637,GO:2000378
P04637,GO:2000379
P04637,GO:2000647
P04637,GO:2001244
P62937,GO:0000413
P62937,GO:0001933
P62937,GO:0001934
P62937,GO:0003723
P62937,GO:0003755
P62937,GO:0005178
P62937,GO:0005576
P62937,GO:0005615
P62937,GO:0005634
P62937,GO:0005737
P62937,GO:0005829
P62937,GO:0005925
P62937,GO:0006457
P62937,GO:0006469
P62937,GO:0006915
P62937,GO:0016018
P62937,GO:0016020
P62937,GO:0019076
P62937,GO:0030168
P62937,GO:0030593
P62937,GO:0031982
P62937,GO:0032148
P62937,GO:0032991
P62937,GO:0034389
P62937,GO:0034599
P62937,GO:0034774
P62937,GO:0035307
P62937,GO:0043231
P62937,GO:0043410
P62937,GO:0045070
P62937,GO:0050714
P62937,GO:0051082
P62937,GO:0051092
P62937,GO:0070062
P62937,GO:0070527
P62937,GO:1902176
P62937,GO:1904813
P52294,GO:0005634
P52294,GO:0005643
P52294,GO:0005654
P52294,GO:0005737
P52294,GO:0005829
P52294,GO:0006606
P52294,GO:0006607
P52294,GO:0008139
P52294,GO:0014069
P52294,GO:0030425
P52294,GO:0042981
P52294,GO:0060828
P52294,GO:0061608
P52294,GO:0098978
P61978,GO:0000398
P61978,GO:0000785
P61978,GO:0002102
P61978,GO:0003677
P61978,GO:0003723
P61978,GO:0003729
P61978,GO:0005634
P61978,GO:0005654
P61978,GO:0005737
P61978,GO:0005925
P61978,GO:0006357
P61978,GO:0006396
P61978,GO:0007165
P61978,GO:0010468
P61978,GO:0010494
P61978,GO:0016020
P61978,GO:0019904
P61978,GO:0042802
P61978,GO:0042995
P61978,GO:0043066
P61978,GO:0045296
P61978,GO:0045892
P61978,GO:0045944
P61978,GO:0048024
P61978,GO:0048025
P61978,GO:0048260
P61978,GO:0070062
P61978,GO:0071013
P61978,GO:1990904
O00571,GO:0003677
O00571,GO:0003678
O00571,GO:0003723
O00571,GO:0003724
O00571,GO:0003729
O00571,GO:0003924
O00571,GO:0005524
O00571,GO:0005576
O00571,GO:0005634
O00571,GO:0005654
O00571,GO:0005737
O00571,GO:0005813
O00571,GO:0005829
O00571,GO:0005886
O00571,GO:0006413
O00571,GO:0007059
O00571,GO:0008134
O00571,GO:0008143
O00571,GO:0008625
O00571,GO:0009615
O00571,GO:0010494
O00571,GO:0010628
O00571,GO:0016055
O00571,GO:0016887
O00571,GO:0017148
O00571,GO:0030027
O00571,GO:0030154
O00571,GO:0030307
O00571,GO:0030308
O00571,GO:0031053
O00571,GO:0031252
O00571,GO:0031333
O00571,GO:0031369
O00571,GO:0031954
O00571,GO:0032727
O00571,GO:0032728
O00571,GO:0034063
O00571,GO:0034774
O00571,GO:0035556
O00571,GO:0035613
O00571,GO:0043015
O00571,GO:0043024
O00571,GO:0043065
O00571,GO:0043066
O00571,GO:0043154
O00571,GO:0043280
O00571,GO:0043539
O00571,GO:0045070
O00571,GO:0045087
O00571,GO:0045296
O00571,GO:0045727
O00571,GO:0045944
O00571,GO:0045948
O00571,GO:0048027
O00571,GO:0055088
O00571,GO:0070062
O00571,GO:0071902
O00571,GO:0090263
O00571,GO:0097193
O00571,GO:0098586
O00571,GO:1900087
O00571,GO:1900227
O00571,GO:1901223
O00571,GO:1901224
O00571,GO:1902042
O00571,GO:1904813
O00571,GO:2001243
P61073,GO:0001618
P61073,GO:0001666
P61073,GO:0001764
P61073,GO:0002407
P61073,GO:0003779
P61073,GO:0004930
P61073,GO:0005634
P61073,GO:0005737
P61073,GO:0005764
P61073,GO:0005769
P61073,GO:0005770
P61073,GO:0005829
P61073,GO:0005886
P61073,GO:0006915
P61073,GO:0006954
P61073,GO:0006955
P61073,GO:0007186
P61073,GO:0007204
P61073,GO:0007420
P61073,GO:0009615
P61073,GO:0009897
P61073,GO:0009986
P61073,GO:0014823
P61073,GO:0015026
P61073,GO:0019722
P61073,GO:0022008
P61073,GO:0030155
P61073,GO:0030335
P61073,GO:0031012
P61073,GO:0031252
P61073,GO:0031410
P61073,GO:0031625
P61073,GO:0032991
P61073,GO:0036094
P61073,GO:0043130
P61073,GO:0043278
P61073,GO:0048714
P61073,GO:0051924
P61073,GO:0060048
P61073,GO:0060326
P61073,GO:0070062
P61073,GO:0070161
P61073,GO:0071345
P61073,GO:0071466
P61073,GO:0120162
P61073,GO:1903861
P51681,GO:0000165
P51681,GO:0001618
P51681,GO:0002407
P51681,GO:0003779
P51681,GO:0005737
P51681,GO:0005768
P51681,GO:0005886
P51681,GO:0006816
P51681,GO:0006935
P51681,GO:0006954
P51681,GO:0006955
P51681,GO:0006968
P51681,GO:0007166
P51681,GO:0007186
P51681,GO:0007204
P51681,GO:0007267
P51681,GO:0009897
P51681,GO:0009986
P51681,GO:0015026
P51681,GO:0019722
P51681,GO:0042802
P51681,GO:0060326
P51681,GO:0070723
P51681,GO:0071222
Q92621,GO:0005635
Q92621,GO:0005643
Q92621,GO:0005829
Q92621,GO:0006913
Q92621,GO:0015031
Q92621,GO:0016020
Q92621,GO:0017056
Q92621,GO:0031965
Q92621,GO:0034399
Q92621,GO:0051028
P35658,GO:0000278
P35658,GO:0005049
P35658,GO:0005635
P35658,GO:0005643
P35658,GO:0005654
P35658,GO:0005829
P35658,GO:0006405
P35658,GO:0006406
P35658,GO:0006606
P35658,GO:0006611
P35658,GO:0006913
P35658,GO:0008139
P35658,GO:0017056
P35658,GO:0051726
Q8N1F7,GO:0005635
Q8N1F7,GO:0005643
Q8N1F7,GO:0005813
Q8N1F7,GO:0005829
Q8N1F7,GO:0006606
Q8N1F7,GO:0006913
Q8N1F7,GO:0006998
Q8N1F7,GO:0016020
Q8N1F7,GO:0016973
Q8N1F7,GO:0017056
Q8N1F7,GO:0031965
Q8N1F7,GO:0034399
Q8N1F7,GO:0060391
Q8N1F7,GO:0060395
P13010,GO:0000723
P13010,GO:0000781
P13010,GO:0000976
P13010,GO:0002218
P13010,GO:0003677
P13010,GO:0003678
P13010,GO:0003684
P13010,GO:0003690
P13010,GO:0003723
P13010,GO:0005524
P13010,GO:0005576
P13010,GO:0005634
P13010,GO:0005654
P13010,GO:0005730
P13010,GO:0005829
P13010,GO:0005886
P13010,GO:0006302
P13010,GO:0006303
P13010,GO:0006310
P13010,GO:0006974
P13010,GO:0007420
P13010,GO:0008022
P13010,GO:0008047
P13010,GO:0008094
P13010,GO:0009410
P13010,GO:0016020
P13010,GO:0016887
P13010,GO:0022008
P13010,GO:0031625
P13010,GO:0032040
P13010,GO:0032204
P13010,GO:0032212
P13010,GO:0032991
P13010,GO:0032993
P13010,GO:0034774
P13010,GO:0042162
P13010,GO:0043085
P13010,GO:0044877
P13010,GO:0045087
P13010,GO:0045860
P13010,GO:0045892
P13010,GO:0050769
P13010,GO:0051973
P13010,GO:0060218
P13010,GO:0071398
P13010,GO:0071425
